"ID","Produto","SKU","Preço","Status","Relevância","Ações",Descrição
"12459","Blusa cotton rosa poesia cristais – Pituchinhus ref. 25638","055215","R$ 198,50","Habilitado",," ",
"12458","Blusa teddy rosa capuz urso – Pituchinhus ref. 25616","055214","R$ 265,50","Habilitado",," ",
"12455","Blusa cotton ursa cesto de flores – Pituchinhus ref. 25609","055213","R$ 198,50","Habilitado",," ",
"12454","Blusa cotton ursas e varinha cristais – Pituchinhus ref. 25608","055212","R$ 198,50","Habilitado",," ",
"12453","Calça legging rosa fadas e flores – Pituchinhus ref. 25593","055206","R$ 178,50","Habilitado",," ",
"12452","Blusa light rosa fadas e princesas – Pituchinhus ref. 25592","055219","R$ 178,50","Habilitado",," ",
"12451","Vestido moletom rosa castelo – Pituchinhus ref. 25589","055216","R$ 309,90","Habilitado",," ",
"12450","Blusa moletom rosa castelo – Pituchinhus ref. 25586","055211","R$ 309,90","Habilitado",," ",
"12449","Blusa moletom duas ursinhas flores – Pituchinhus ref. 25573","055210","R$ 287,70","Habilitado",," ",
"12448","Calça jogging moletom bege varinha cristal – Pituchinhus ref. 25569","055218","R$ 287,70","Habilitado",," ",
"12447","Blusa moletom rosa rosto ursa pele – Pituchinhus ref. 25567","055209","R$ 287,70","Habilitado",," ",
"12446","Calça jogging moletom rosa recorte pele – Pituchinhus ref. 25566","055217","R$ 264,90","Habilitado",," ",
"12445","Blusa rib rosa rosto ursinha pele – Pituchinhus ref. 25565","055208","R$ 198,50","Habilitado",," ",
"12444","Calça legging tricot preta flores – Pituchinhus ref. 25538","055205","R$ 242,90","Habilitado",," ",
"12443","Blusa tricot rosa princesa cristais – Pituchinhus ref. 25532","055207","R$ 332,50","Habilitado",," ",
"12442","Legging tricot xadrez rosa – Pituchinhus ref. 25522","055204","R$ 242,90","Habilitado",," ",
"12437","Blusa tricot básica verde – Pituchinhus ref. 25506","055203","R$ 188,90","Habilitado",," ",
"11153","Calça reta moletom lilás ursa – Pituchinhus ref. 25568","055201","R$ 239,80","Habilitado",," ",
"11152","Saia short moletom lilás pele – Pituchinhus ref. 25560","055200","R$ 231,50","Habilitado",," ",
"11151","Blusa moletom lilás pele – Pituchinhus ref. 25559","055199","R$ 283,80","Habilitado",," ",
,,,,,,,